Year,Total population
2015,7379797139
2016,7464022000
2017,7547859000
2018,7631091000
2019,7713468000
2020,7795000000
2021,7874965732
2022,7953952577
2023,8031800338
2024,8108605255
2025,8184437453
2026,8259276651
2027,8333078318
2028,8405863301
2029,8477660723
2030,8548487371
2031,8618349454
2032,8687227873
2033,8755083512
2034,8821862705
2035,8887524229
2036,8952048885
2037,9015437616
2038,9077693645
2039,9138828562
2040,9198847382
2041,9257745483
2042,9315508153
2043,9372118247
2044,9427555382
2045,9481803272
2046,9534854673
2047,9586707749
2048,9637357320
2049,9686800146
2050,9735033900
